Id,Category,Keywords
1,Themes,"[Components, Wallpapers, Ringtones]"
2,Sports,"[Sports, Football, Basketball, Competition]"
3,Parenting,"[Baby, Children, Pregnancy, Enlightenment]"
4,Life,"[Tax, Government, Citizen, National, Charge, LED, Decision, Random, Calculator, Rent, Recruitment, Job, Decoration]"
5,Shopping,"[Takeaway, Delivery, E-commerce, Supermarket, Purchase, Cashier]"
6,Diet,"[Diet, Cook, Kitchen, Cooking]"
7,Note,"[Note, Money Saving, Billing, Handbook, Record, Plan, Calendar]"
8,Weather,"[Weather, Forecast, Thermometer, Tide, Moon phase]"
9,Travel,"[Taxi, ETC, Locate, Navigate, Map, Bus, Hotel, Train, Ticket, Travel]"
10,Health,"[Medicare, Hospital, Doctor]"
11,Exercise,"[Exercise, Running, Fitness, Yoga, Sleep]"
12,Loan,"[Borrow money, Loan]"
13,Finance,"[Bank, Stocks, Investment, Payment]"
14,Social,"[Social, Dating, Chat, Community]"
15,Video,"[Film, TV, Movie, Live, Player, Drama]"
16,Music &Music,"[Rhythm, DJ ,Piano ,Guitar]"
17,Photo,"[Camera, Photo, Selfie, Design, Painting]"
18,Comics,"[Anime, Comics, Manga]"
19,Reading,"[Reading, Fiction, Literature, Book]"
20,Newspaper,"[News, Weekly, Magazine, Daily, Information]"
21,Education,"[Translation, Dictionary, Exam, Tutoring, Homework, Student, Education, Question]"
22,Games,"[Games, Chess, Cards]"
23,Document Tools,"[Scanning, Recording, Text Transfer, QR Code, Screenshot]"
24,Office Tools,"[Office, Meeting, Attendance, Web Disk, Cloud Disk, Mailbox]"
25,Networking Tools,"[Packet grabber, WiFi, Encryption, Remote control ,VPN, Browser, Cleanup, Sync, Clone, Switch, Code, Programming, Compile, Algorithm, Shell, Programmer]"